MTM,Fiery-throated Fruiteater,Pipreola chlorolepidota,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
HHU,Fork-tailed Woodnymph,Thalurania furcata,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
VED,Golden Tanager,Tangara arthus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
VGR,Golden-collared Honeycreeper,Iridophanes pulcherrimus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BCM,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
VEH,Golden-eared Tanager,Tangara chrysotis,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BQZ,Grayish Saltator,Saltator coerulescens,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
AOC,Green Hermit,Phaethornis guy,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
VEB,Green-and-gold Tanager,Tangara schrankii,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
ANU,Gray-rumped Swift,Chaetura cinereiventris,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
HETA,Hepatic Tanager,Piranga flava,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,Highland Hepatic-Tanager considered separate species by some,
VNC,Chestnut-bellied Seed-Finch,Sporophila angolensis,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BCY,Masked Tityra,Tityra semifasciata,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
NPB,Montane Foliage-gleaner,Anabacerthia striaticollis,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
MDK,Mottle-backed Elaenia,Elaenia gigas,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
AWN,Olivaceous Woodcreeper,Sittasomus griseicapillus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
OSFL,Olive-sided Flycatcher,Contopus cooperi,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
