Family,Common Name,Specific Name,Date,Location,Country,State,Total
,Buff-breasted Flycatcher,Empidonax fulvifrons,6/11/18,Southwest Research Station,,Arizona,
,Cassin's Kingbird,Tyrannus cassini,12/22/17,Poggi Canyon,,California ,
,Cordilleran Flycatcher,Empidonax occidentalis,,Shwayder Camp,,Colorado,
,Dusky Flycatcher,,5/23/20,Park City,,Utah,
,Dusky-capped Flycatcher,Myiarchus tuberculifer,06/09/18,Cave Creek Canyon,,Arizona,
,Eastern Kingbird,Tyrannus tyrannus,,F.I.I.K.,,Nebraska,
,Eastern Phoebe,Sayornis phoebe,,Hummel Park,,Nebraska,
,Eastern Wood-Pewee,Contopus virens,,Schram Park,,Nebraska,
,Great-crested Flycatcher,Myiarchus crinitus,,Fontenelle Forest,,Nebraska,
,Greater Pewee,Contopus pertinax,6/10/18,Cave Creek Canyon,,Arizona,
,Least Flycatcher,Empidonax minimus,,Backyard,,Nebraska,
,Northern Beardless-Tyrannulet,Camptostoma imberbe,6/10/18,San Bernadino NWR,,Arizona,
,Olive-sided Flycatcher,Contopus Cooperi,8/10/11,Backyard,,Nebraska,
,Pacific-slope Flycatcher,,,Monferey bay,,California,
,Phainopepla,,,Madera Canyon,,Arizona,
,Say's Phoebe,Sayornis saya,,Scottsdale,,Arizona,
,Scissor-tailed Flycatcher,,12/22/17,Poggi Canyon,,California ,
,Sulphur-bellied Flycatcher,,,Madera Canyon,,Arizona,
,Thick-billed Kingbird,Tyrannus crassirostris,12/22/17,Poggi Canyon,,California ,
,Tropical Kingbird,Tyrannus melancholicus,6/12/18,San Bernadino NWR,,Arizona,
,Vermillion Flycatcher,Pyrocephalus rubinus,,Scottsdale,,Arizona,
,Western Kingbird,Tyrannus verticalis,,F.I.I.K.,,Nebraska,
,Western Wood-pewee,,,Windy Hill,,California,
,Willow Flycatcher,Empidonax trailii,,Backyard,,Nebraska,
Tityridae,Rose-throated Becard,Pachyramphus aglaiae,6/13/18,De Anza Trail,,Arizona,
Alaudidae,Horned lark,Eremophila alpestris,,F.I.I.K.,,Nebraska,
Hirundinidae,Bank Swallow,,,Calamus Reservoir,,Nebraska,
,Barn Swallow,Hirundo rustica,,F.I.I.K.,,Nebraska,
,Cliff Swallow,,,Conagra Park,,Nebraska,
,Northern Rough-winged Swallow,Stelgidopteryx serrapenis,,F.I.I.K.,,Nebraska,
,Purple Martin,Progne subis,,Sunset Pool,,Nebraska,
,Tree Swallow,Tachycineta bicolor,,F.I.I.K.,,Nebraska,
,Violet-Green Swallow,Tachycineta thalassinus,,Hearst Castle,,California,
Motacillidae,American Pipit,Anthus rubescens,,Scottsdale,,Arizona,
,Sprague's Pipit,,,Lemmon,,South Dakota,
Regulidae,Golden-crowned Kinglet,Regulus satrapa,12/19/11,Krimlofsky Tract,,Nebraska,
,Ruby-crowned Kinglet,Regulus calendula,5/9/07,Backyard,,Nebraska,
Sylviidae,Wrentit,Chamaea fasciata,6/20/16,Salinas Valley,,California,
Bombycillidae,Cedar Waxwing,Bombycilla cedrorum,,Backyard,,Nebraska,
